tipologia,area,Tiponeg,local,preco,link
Penthouse Duplex T4 Avenidas Novas com Piscina e Terraço ...,"207,76 m²",Apartamento para comprar: ,"Apartamento para comprar: Avenidas Novas, Lisboa",2615000€,https://www.imovirtual.com/pt/anuncio/penthouse-duplex-t4-avenidas-novas-com-piscina-e-terraco-ID16IjO.html#ade743b61c
Luxuoso T4 novo em Condomínio fechado com piscina em Lisboa,"268,05 m²",Apartamento para comprar: ,"Apartamento para comprar: Olivais, Lisboa",958000€,https://www.imovirtual.com/pt/anuncio/luxuoso-t4-novo-em-condominio-fechado-com-piscina-em-lisboa-ID17Q7u.html#ade743b61c
"Apartamento T2 com lugar de garagem, nas Antas, Porto","76,30 m²",Apartamento para comprar: ,"Apartamento para comprar: Campanhã, Porto",225000€,https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-lugar-de-garagem-nas-antas-porto-ID17mhv.html#ade743b61c
Apartamento T1 com varanda e exposição solar ao Estádio,"59,09 m²",Apartamento para comprar: ,"Apartamento para comprar: Campanhã, Porto",219000€,https://www.imovirtual.com/pt/anuncio/apartamento-t1-com-varanda-e-exposicao-solar-ao-estadio-ID17eZM.html#ade743b61c
T1 nas Avenidas Novas com Piscina e Garagem em Condomínio...,"79,22 m²",Apartamento para comprar: ,"Apartamento para comprar: Avenidas Novas, Lisboa",550000€,https://www.imovirtual.com/pt/anuncio/t1-nas-avenidas-novas-com-piscina-e-garagem-em-condominio-ID16Ik1.html#ade743b61c
"Loja em edifício novo, Alameda das Antas","415,55 m²",Loja para comprar: ,"Loja para comprar: Campanhã, Porto",830000€,https://www.imovirtual.com/pt/anuncio/loja-em-edificio-novo-alameda-das-antas-ID16TDB.html#ade743b61c
T3 nas Avenidas Novas com Piscina e Garagem em Condomínio...,"146,73 m²",Apartamento para comprar: ,"Apartamento para comprar: Avenidas Novas, Lisboa",920000€,https://www.imovirtual.com/pt/anuncio/t3-nas-avenidas-novas-com-piscina-e-garagem-em-condominio-ID16IjK.html#ade743b61c
Andar Moradia T3 - Águas Santas,90 m²,Moradia para comprar: ,"Moradia para comprar: Águas Santas, Maia, Porto",162000€,https://www.imovirtual.com/pt/anuncio/andar-moradia-t3-aguas-santas-ID177I0.html#ade743b61c
APARTAMENTO T1+1 NA RUA GENERAL HUMBERTO DELGADO | SOLUM |COIMBRA,68 m²,Apartamento para comprar: ,"Apartamento para comprar: Torres do Mondego, Coimbra",152500€,https://www.imovirtual.com/pt/anuncio/apartamento-t1-1-na-rua-general-humberto-delgado-solum-coimbra-ID17Y71.html#ade743b61c
Luxuoso apartamento T4 novo em Condomínio com Piscina em ...,"268,95 m²",Apartamento para comprar: ,"Apartamento para comprar: Olivais, Lisboa",887000€,https://www.imovirtual.com/pt/anuncio/luxuoso-apartamento-t4-novo-em-condominio-com-piscina-em-ID16DaV.html#ade743b61c
T3 EspinhoOcean - Condomínio Privado,"130,37 m²",Apartamento para comprar: ,"Apartamento para comprar: Espinho, Aveiro",390000€,https://www.imovirtual.com/pt/anuncio/t3-espinhoocean-condominio-privado-ID16m9j.html#ade743b61c
MORADIA ISOLADA T4 | HERDADE MONTEVERDE,220 m²,Moradia para comprar: ,"Moradia para comprar: Fernão Ferro, Seixal, Setúbal",740000€,https://www.imovirtual.com/pt/anuncio/moradia-isolada-t4-herdade-monteverde-ID15rRi.html#ade743b61c
Luxuoso T5 com 4 Casas de Banho e 3 Lugares de Estacionam...,"282,05 m²",Apartamento para comprar: ,"Apartamento para comprar: Olivais, Lisboa",948000€,https://www.imovirtual.com/pt/anuncio/luxuoso-t5-com-4-casas-de-banho-e-3-lugares-de-estacionam-ID16DaG.html#ade743b61c
Apartamento Novo – T3 no Piso 1 no Centro do Barreiro,155 m²,Apartamento para comprar: ,"Apartamento para comprar: Barreiro e Lavradio, Barreiro, Setúbal",245000€,https://www.imovirtual.com/pt/anuncio/apartamento-novo-t3-no-piso-1-no-centro-do-barreiro-ID16S1e.html#ade743b61c
